service_id,date,exception_type
27_1093962,20230818,1
27_1093962,20230821,1
27_1093962,20230822,1
27_1093962,20230823,1
27_1093962,20230824,1
27_1093962,20230825,1
27_1093962,20230828,1
27_1093962,20230829,1
27_1093962,20230830,1
27_1093962,20230831,1
27_1093962,20230901,1
27_1093963,20230807,1
27_1093963,20230808,1
27_1093963,20230809,1
27_1093963,20230810,1
27_1093963,20230811,1
27_1093963,20230814,1
27_1093963,20230816,1
27_1093963,20230817,1
27_1093963,20230818,1
27_1093963,20230821,1
27_1093963,20230822,1
27_1093963,20230823,1
27_1093963,20230824,1
27_1093963,20230825,1
27_1093963,20230828,1
27_1093963,20230829,1
27_1093963,20230830,1
27_1093963,20230831,1
27_1093963,20230901,1
27_1093964,20230807,1
27_1093964,20230808,1
27_1093964,20230809,1
27_1093964,20230810,1
27_1093964,20230811,1
27_1093964,20230814,1
27_1093964,20230816,1
27_1093964,20230817,1
27_1093964,20230818,1
27_1093964,20230821,1
27_1093964,20230822,1
27_1093964,20230823,1
27_1093964,20230824,1
27_1093964,20230825,1
27_1093964,20230828,1
27_1093964,20230829,1
27_1093964,20230830,1
27_1093964,20230831,1
27_1093964,20230901,1
27_1093975,20230807,1
27_1093975,20230808,1
27_1093975,20230809,1
27_1093975,20230810,1
27_1093975,20230811,1
27_1093975,20230814,1
27_1093975,20230816,1
27_1093975,20230817,1
27_1093975,20230818,1
27_1093975,20230821,1
27_1093975,20230822,1
27_1093975,20230823,1
27_1093975,20230824,1
27_1093975,20230825,1
27_1093975,20230828,1
27_1093975,20230829,1
27_1093975,20230830,1
27_1093975,20230831,1
27_1093975,20230901,1
27_1093976,20230807,1
27_1093976,20230808,1
27_1093976,20230809,1
27_1093976,20230810,1
27_1093976,20230811,1
27_1093976,20230814,1
27_1093976,20230816,1
27_1093976,20230817,1
27_1093976,20230818,1
27_1093976,20230821,1
27_1093976,20230822,1
27_1093976,20230823,1
27_1093976,20230824,1
27_1093976,20230825,1
27_1093976,20230828,1
27_1093976,20230829,1
27_1093976,20230830,1
27_1093976,20230831,1
27_1093976,20230901,1
27_1093977,20230807,1
27_1093977,20230808,1
27_1093977,20230809,1
27_1093977,20230810,1
27_1093977,20230811,1
27_1093977,20230814,1
27_1093977,20230816,1
27_1093977,20230817,1
27_1093977,20230818,1
27_1093977,20230821,1
27_1093977,20230822,1
27_1093977,20230823,1
27_1093977,20230824,1
27_1093977,20230825,1
27_1093977,20230828,1
27_1093977,20230829,1
27_1093977,20230830,1
27_1093977,20230831,1
27_1093977,20230901,1
27_1093979,20230807,1
27_1093979,20230808,1
27_1093979,20230809,1
27_1093979,20230810,1
27_1093979,20230811,1
27_1093979,20230814,1
27_1093979,20230816,1
27_1093979,20230817,1
27_1093979,20230818,1
27_1093979,20230821,1
27_1093979,20230822,1
27_1093979,20230823,1
27_1093979,20230824,1
27_1093979,20230825,1
27_1093979,20230828,1
27_1093979,20230829,1
27_1093979,20230830,1
27_1093979,20230831,1
27_1093979,20230901,1
27_1093981,20230807,1
27_1093981,20230808,1
27_1093981,20230810,1
27_1093981,20230811,1
27_1093981,20230814,1
27_1093981,20230817,1
27_1093981,20230818,1
27_1093981,20230821,1
27_1093981,20230822,1
27_1093981,20230824,1
27_1093981,20230825,1
27_1093981,20230828,1
27_1093981,20230829,1
27_1093981,20230831,1
27_1093981,20230901,1
27_1093986,20230812,1
27_1093986,20230819,1
27_1093986,20230826,1
27_1093987,20230812,1
27_1093987,20230819,1
27_1093987,20230826,1
27_1093989,20230812,1
27_1093989,20230819,1
27_1093989,20230826,1
27_1093990,20230812,1
27_1093990,20230819,1
27_1093990,20230826,1
27_1094013,20230807,1
27_1094013,20230808,1
27_1094013,20230809,1
27_1094013,20230810,1
27_1094013,20230811,1
27_1094013,20230812,1
27_1094013,20230814,1
27_1094013,20230816,1
27_1094013,20230817,1
27_1094013,20230818,1
27_1094013,20230819,1
27_1094013,20230821,1
27_1094013,20230822,1
27_1094013,20230823,1
27_1094013,20230824,1
27_1094013,20230825,1
27_1094013,20230826,1
27_1094013,20230828,1
27_1094013,20230829,1
27_1094013,20230830,1
27_1094013,20230831,1
27_1094013,20230901,1
27_1094015,20230807,1
27_1094015,20230808,1
27_1094015,20230809,1
27_1094015,20230810,1
27_1094015,20230811,1
27_1094015,20230812,1
27_1094015,20230814,1
27_1094015,20230816,1
27_1094015,20230817,1
27_1094015,20230818,1
27_1094015,20230819,1
27_1094015,20230821,1
